---
title: "Supported Document Artifact Sub-types"
artifactType: document
artifactSubtype: "Artifact Subtypes"
---
"Subtype","Description"
"Webpage Summary","Summarized content extracted from web pages"
"Creative Works","Fiction and creative writing projects"
"Research Report","Detailed findings from research activities"
"Specifications","Detailed requirements and specifications for products and services"
"Plan","Strategic document outlining marketing, business, or technical goals and strategies"
"Procedure","Step-by-step instructions for operational processes"
"Meeting Minutes","Record of discussions and decisions made during meetings"
"Scientific Paper","Full text of scientific papers"
"Template","A document template",
"General","Other kinds of documents"
